file,File,for loops,while loops,do-while loops,total loops,total nodes,File,for/loops,while/loops,do-while/loops,total/loops,total/nodes
thirdparty/icu4c/common/uresdata.c,thirdparty/icu4c/common/uresdata.c,0,1,8,9,20024,thirdparty/icu4c/common/uresdata.c,2,1,8,11,19899
scene/resources/audio_stream_polyphonic.c,scene/resources/audio_stream_polyphonic.c,13,2,23,38,100369,scene/resources/audio_stream_polyphonic.c,17,2,23,42,99435
thirdparty/manifold/src/smoothing.c,thirdparty/manifold/src/smoothing.c,5,41,60,106,92526,thirdparty/manifold/src/smoothing.c,5,41,60,106,92526
scene/resources/audio_stream_wav.c,scene/resources/audio_stream_wav.c,26,11,44,81,164658,scene/resources/audio_stream_wav.c,27,11,44,82,163742
servers/navigation_server_3d.c,servers/navigation_server_3d.c,12,5,38,55,425014,servers/navigation_server_3d.c,12,5,38,55,424681
thirdparty/thorvg/src/renderer/tvgshape.c,thirdparty/thorvg/src/renderer/tvgShape.c,0,0,4,4,22945,thirdparty/thorvg/src/renderer/tvgShape.c,1,0,4,5,22861
scene/3d/physics/collision_object_3d.c,scene/3d/physics/collision_object_3d.c,11,38,73,122,264905,scene/3d/physics/collision_object_3d.c,16,38,73,127,262031
editor/project_manager/quick_settings_dialog.c,editor/project_manager/quick_settings_dialog.c,13,18,23,54,63396,editor/project_manager/quick_settings_dialog.c,13,18,23,54,63394
scene/3d/cpu_particles_3d.c,scene/3d/cpu_particles_3d.c,33,17,71,121,459283,scene/3d/cpu_particles_3d.c,44,17,71,132,456130
editor/window_wrapper.c,editor/window_wrapper.c,15,13,18,46,79265,editor/window_wrapper.c,15,13,18,46,79261
editor/plugins/navigation_obstacle_2d_editor_plugin.c,editor/plugins/navigation_obstacle_2d_editor_plugin.c,12,0,14,26,48178,editor/plugins/navigation_obstacle_2d_editor_plugin.c,16,0,14,30,47916
modules/jolt_physics/spaces/jolt_space_3d.c,modules/jolt_physics/spaces/jolt_space_3d.c,2,5,28,35,48815,modules/jolt_physics/spaces/jolt_space_3d.c,12,5,28,45,45773
platform/linuxbsd/x11/gl_manager_x11.c,platform/linuxbsd/x11/gl_manager_x11.c,0,0,5,5,9439,platform/linuxbsd/x11/gl_manager_x11.c,5,0,5,10,9083
editor/plugins/curve_editor_plugin.c,editor/plugins/curve_editor_plugin.c,21,7,37,65,136802,editor/plugins/curve_editor_plugin.c,21,7,37,65,136802
core/string/optimized_translation.c,core/string/optimized_translation.c,5,17,50,72,78956,core/string/optimized_translation.c,8,17,50,75,78058
thirdparty/astcenc/astcenc_percentile_tables.c,thirdparty/astcenc/astcenc_percentile_tables.c,0,1,2,3,1303,thirdparty/astcenc/astcenc_percentile_tables.c,2,1,2,5,1306
thirdparty/libvorbis/floor1.c,thirdparty/libvorbis/floor1.c,4,9,43,56,16333,thirdparty/libvorbis/floor1.c,5,9,43,57,16292
editor/plugins/audio_stream_editor_plugin.c,editor/plugins/audio_stream_editor_plugin.c,18,6,11,35,78892,editor/plugins/audio_stream_editor_plugin.c,18,6,11,35,78892
servers/rendering/renderer_viewport.c,servers/rendering/renderer_viewport.c,6,19,86,111,151239,servers/rendering/renderer_viewport.c,6,19,86,111,151239
thirdparty/mbedtls/library/psa_crypto_mac.c,thirdparty/mbedtls/library/psa_crypto_mac.c,8,0,1,9,3994,thirdparty/mbedtls/library/psa_crypto_mac.c,9,0,1,10,3934
thirdparty/libwebp/src/dsp/enc_sse2.c,thirdparty/libwebp/src/dsp/enc_sse2.c,3,0,44,47,83937,thirdparty/libwebp/src/dsp/enc_sse2.c,26,0,44,70,80691
scene/3d/label_3d.c,scene/3d/label_3d.c,15,9,47,71,365506,scene/3d/label_3d.c,22,9,47,78,353297
editor/editor_sectioned_inspector.c,editor/editor_sectioned_inspector.c,13,9,20,42,70641,editor/editor_sectioned_inspector.c,23,9,20,52,69947
thirdparty/jolt_physics/jolt/physics/body/body.c,thirdparty/jolt_physics/Jolt/Physics/Body/Body.c,0,1,5,6,27198,thirdparty/jolt_physics/Jolt/Physics/Body/Body.c,3,1,5,9,26771
servers/rendering/renderer_rd/forward_mobile/render_forward_mobile.c,servers/rendering/renderer_rd/forward_mobile/render_forward_mobile.c,22,61,188,271,318176,servers/rendering/renderer_rd/forward_mobile/render_forward_mobile.c,25,49,151,225,314340
editor/gui/editor_title_bar.c,editor/gui/editor_title_bar.c,8,0,9,17,28990,editor/gui/editor_title_bar.c,12,0,9,21,28757
thirdparty/harfbuzz/src/hb-subset-instancer-iup.c,thirdparty/harfbuzz/src/hb-subset-instancer-iup.c,11,10,58,79,27934,thirdparty/harfbuzz/src/hb-subset-instancer-iup.c,13,10,58,81,27706
core/math/color.c,core/math/color.c,0,1,15,16,34848,core/math/color.c,2,1,14,17,32765
core/debugger/local_debugger.c,core/debugger/local_debugger.c,6,9,32,47,63410,core/debugger/local_debugger.c,6,9,32,47,63406
platform/macos/export/export_plugin.c,platform/macos/export/export_plugin.c,6,14,64,84,425752,platform/macos/export/export_plugin.c,11,14,64,89,421233
servers/rendering/rendering_device_graph.c,servers/rendering/rendering_device_graph.c,5,18,90,113,140081,servers/rendering/rendering_device_graph.c,19,18,90,127,138680
thirdparty/harfbuzz/src/hb-subset-instancer-solver.c,thirdparty/harfbuzz/src/hb-subset-instancer-solver.c,0,0,3,3,2366,thirdparty/harfbuzz/src/hb-subset-instancer-solver.c,1,0,3,4,2355
editor/debugger/editor_profiler.c,editor/debugger/editor_profiler.c,15,34,81,130,150909,editor/debugger/editor_profiler.c,15,34,81,130,150909
thirdparty/harfbuzz/src/hb-subset-input.c,thirdparty/harfbuzz/src/hb-subset-input.c,2,10,28,40,20731,thirdparty/harfbuzz/src/hb-subset-input.c,10,10,28,48,20455
core/variant/variant_op.c,core/variant/variant_op.c,1,6,421,428,861527,core/variant/variant_op.c,3,6,421,430,861153
modules/enet/enet_connection.c,modules/enet/enet_connection.c,6,3,35,44,153767,modules/enet/enet_connection.c,13,3,35,51,152526
scene/2d/tile_map.c,scene/2d/tile_map.c,28,16,87,131,428421,scene/2d/tile_map.c,31,16,86,133,426047
editor/animation_bezier_editor.c,editor/animation_bezier_editor.c,19,51,221,291,321518,editor/animation_bezier_editor.c,27,48,198,273,314870
modules/godot_physics_3d/godot_collision_solver_3d.c,modules/godot_physics_3d/godot_collision_solver_3d.c,2,2,8,12,20467,modules/godot_physics_3d/godot_collision_solver_3d.c,7,2,8,17,20298
thirdparty/jolt_physics/jolt/physics/collision/shape/planeshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/PlaneShape.c,3,1,9,13,27589,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/PlaneShape.c,3,1,9,13,27589
scene/gui/texture_button.c,scene/gui/texture_button.c,6,2,9,17,87840,scene/gui/texture_button.c,12,2,9,23,86033
modules/vorbis/audio_stream_ogg_vorbis.c,modules/vorbis/audio_stream_ogg_vorbis.c,16,9,42,67,141373,modules/vorbis/audio_stream_ogg_vorbis.c,19,8,42,69,140229
thirdparty/harfbuzz/src/hb-shape-plan.c,thirdparty/harfbuzz/src/hb-shape-plan.c,1,9,19,29,9414,thirdparty/harfbuzz/src/hb-shape-plan.c,3,9,19,31,9212
thirdparty/libtheora/x86/mmxidct.c,thirdparty/libtheora/x86/mmxidct.c,0,0,1,1,23588,thirdparty/libtheora/x86/mmxidct.c,2,0,1,3,23603
thirdparty/freetype/src/pcf/pcf.c,thirdparty/freetype/src/pcf/pcf.c,0,3,23,26,16657,thirdparty/freetype/src/pcf/pcf.c,3,3,23,29,16484
editor/animation_track_editor_plugins.c,editor/animation_track_editor_plugins.c,15,24,34,73,148552,editor/animation_track_editor_plugins.c,32,15,28,75,144449
editor/import_dock.c,editor/import_dock.c,21,31,104,156,174956,editor/import_dock.c,21,31,104,156,174956
modules/multiplayer/scene_multiplayer.c,modules/multiplayer/scene_multiplayer.c,10,13,69,92,224760,modules/multiplayer/scene_multiplayer.c,10,13,69,92,224760
core/io/image_loader.c,core/io/image_loader.c,8,6,32,46,84050,core/io/image_loader.c,9,6,32,47,83496
thirdparty/freetype/src/cid/type1cid.c,thirdparty/freetype/src/cid/type1cid.c,1,4,19,24,18880,thirdparty/freetype/src/cid/type1cid.c,2,4,19,25,18661
scene/3d/physics/collision_polygon_3d.c,scene/3d/physics/collision_polygon_3d.c,4,2,12,18,77213,scene/3d/physics/collision_polygon_3d.c,5,2,12,19,76722
scene/gui/option_button.c,scene/gui/option_button.c,11,10,39,60,219503,scene/gui/option_button.c,12,10,36,58,216435
editor/plugins/editor_plugin_settings.c,editor/plugins/editor_plugin_settings.c,14,13,32,59,76429,editor/plugins/editor_plugin_settings.c,21,13,31,65,73168
core/io/resource_saver.c,core/io/resource_saver.c,4,7,42,53,103180,core/io/resource_saver.c,5,7,42,54,102601
servers/rendering/storage/render_scene_buffers.c,servers/rendering/storage/render_scene_buffers.c,4,2,21,27,151140,servers/rendering/storage/render_scene_buffers.c,5,2,21,28,150610
editor/plugins/color_channel_selector.c,editor/plugins/color_channel_selector.c,13,2,21,36,57763,editor/plugins/color_channel_selector.c,18,2,20,40,57360
modules/openxr/editor/openxr_binding_modifier_editor.c,modules/openxr/editor/openxr_binding_modifier_editor.c,20,9,23,52,91224,modules/openxr/editor/openxr_binding_modifier_editor.c,20,9,23,52,91102
modules/bmp/image_loader_bmp.c,modules/bmp/image_loader_bmp.c,3,3,15,21,23759,modules/bmp/image_loader_bmp.c,4,3,15,22,23555
platform/linuxbsd/tts_linux.c,platform/linuxbsd/tts_linux.c,2,12,29,43,43275,platform/linuxbsd/tts_linux.c,3,12,29,44,42600
servers/rendering/renderer_rd/storage_rd/render_scene_buffers_rd.c,servers/rendering/renderer_rd/storage_rd/render_scene_buffers_rd.c,9,16,79,104,351195,servers/rendering/renderer_rd/storage_rd/render_scene_buffers_rd.c,9,16,79,104,351195
scene/resources/theme.c,scene/resources/theme.c,32,107,243,382,615093,scene/resources/theme.c,32,107,242,381,611793
servers/rendering/dummy/storage/mesh_storage.c,servers/rendering/dummy/storage/mesh_storage.c,3,5,20,28,40319,servers/rendering/dummy/storage/mesh_storage.c,9,5,20,34,39984
scene/resources/curve_texture.c,scene/resources/curve_texture.c,11,5,34,50,89364,scene/resources/curve_texture.c,12,5,34,51,88853
thirdparty/harfbuzz/src/hb-ot-map.c,thirdparty/harfbuzz/src/hb-ot-map.c,3,5,35,43,19500,thirdparty/harfbuzz/src/hb-ot-map.c,4,5,35,44,19379
modules/openxr/openxr_api.c,modules/openxr/openxr_api.c,41,39,142,222,260286,modules/openxr/openxr_api.c,50,39,142,231,258445
editor/connections_dialog.c,editor/connections_dialog.c,24,40,99,163,251468,editor/connections_dialog.c,24,40,99,163,251468
modules/godot_physics_2d/godot_broad_phase_2d_bvh.c,modules/godot_physics_2d/godot_broad_phase_2d_bvh.c,7,7,37,51,72779,modules/godot_physics_2d/godot_broad_phase_2d_bvh.c,9,7,37,53,72242
scene/resources/style_box_texture.c,scene/resources/style_box_texture.c,5,0,8,13,109791,scene/resources/style_box_texture.c,8,0,8,16,109357
thirdparty/manifold/src/subdivision.c,thirdparty/manifold/src/subdivision.c,5,13,62,80,61667,thirdparty/manifold/src/subdivision.c,9,13,62,84,60551
thirdparty/jolt_physics/jolt/physics/vehicle/wheeledvehiclecontroller.c,thirdparty/jolt_physics/Jolt/Physics/Vehicle/WheeledVehicleController.c,4,7,34,45,39766,thirdparty/jolt_physics/Jolt/Physics/Vehicle/WheeledVehicleController.c,4,7,34,45,39766
editor/gui/editor_dir_dialog.c,editor/gui/editor_dir_dialog.c,13,10,22,45,77482,editor/gui/editor_dir_dialog.c,13,10,22,45,77482
thirdparty/basis_universal/encoder/basisu_comp.c,thirdparty/basis_universal/encoder/basisu_comp.c,67,81,375,523,278437,thirdparty/basis_universal/encoder/basisu_comp.c,80,81,373,534,275565
editor/debugger/script_editor_debugger.c,editor/debugger/script_editor_debugger.c,25,49,143,217,377956,editor/debugger/script_editor_debugger.c,25,49,143,217,377956
core/object/script_language_extension.c,core/object/script_language_extension.c,0,2,5,7,115108,core/object/script_language_extension.c,5,2,5,12,113776
thirdparty/libtheora/x86/mmxstate.c,thirdparty/libtheora/x86/mmxstate.c,0,0,5,5,25097,thirdparty/libtheora/x86/mmxstate.c,1,0,5,6,25086
editor/editor_locale_dialog.c,editor/editor_locale_dialog.c,13,9,24,46,81721,editor/editor_locale_dialog.c,13,9,24,46,81721
editor/editor_script.c,editor/editor_script.c,3,0,5,8,33062,editor/editor_script.c,4,0,5,9,32792
modules/gdscript/language_server/gdscript_extend_parser.c,modules/gdscript/language_server/gdscript_extend_parser.c,16,18,102,136,147100,modules/gdscript/language_server/gdscript_extend_parser.c,26,17,99,142,143118
modules/gltf/editor/editor_scene_importer_blend.c,modules/gltf/editor/editor_scene_importer_blend.c,19,12,48,79,165367,modules/gltf/editor/editor_scene_importer_blend.c,23,12,46,81,160435
editor/plugins/navigation_obstacle_3d_editor_plugin.c,editor/plugins/navigation_obstacle_3d_editor_plugin.c,19,9,32,60,114282,editor/plugins/navigation_obstacle_3d_editor_plugin.c,19,9,32,60,114282
thirdparty/embree/kernels/bvh/bvh_statistics.c,thirdparty/embree/kernels/bvh/bvh_statistics.c,49,0,21,70,77349,thirdparty/embree/kernels/bvh/bvh_statistics.c,49,0,21,70,77349
scene/2d/camera_2d.c,scene/2d/camera_2d.c,5,11,20,36,182880,scene/2d/camera_2d.c,5,11,20,36,182880
thirdparty/jolt_physics/jolt/physics/collision/shape/heightfieldshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/HeightFieldShape.c,79,52,196,327,234258,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/HeightFieldShape.c,90,51,196,337,233456
servers/rendering/shader_compiler.c,servers/rendering/shader_compiler.c,22,74,197,293,243780,servers/rendering/shader_compiler.c,25,74,197,296,242028
editor/plugins/editor_resource_tooltip_plugins.c,editor/plugins/editor_resource_tooltip_plugins.c,12,2,18,32,86945,editor/plugins/editor_resource_tooltip_plugins.c,16,2,18,36,86308
thirdparty/embree/kernels/bvh/bvh_builder_sah_spatial.c,thirdparty/embree/kernels/bvh/bvh_builder_sah_spatial.c,35,77,180,292,549508,thirdparty/embree/kernels/bvh/bvh_builder_sah_spatial.c,35,77,180,292,549508
thirdparty/openxr/src/loader/runtime_interface.c,thirdparty/openxr/src/loader/runtime_interface.c,12,15,40,67,52405,thirdparty/openxr/src/loader/runtime_interface.c,18,15,40,73,50414
thirdparty/astcenc/astcenc_symbolic_physical.c,thirdparty/astcenc/astcenc_symbolic_physical.c,0,0,21,21,6484,thirdparty/astcenc/astcenc_symbolic_physical.c,1,0,21,22,6467
scene/3d/spring_bone_simulator_3d.c,scene/3d/spring_bone_simulator_3d.c,10,19,47,76,382228,scene/3d/spring_bone_simulator_3d.c,12,19,47,78,381007
servers/xr/xr_interface.c,servers/xr/xr_interface.c,3,1,11,15,154493,servers/xr/xr_interface.c,6,1,11,18,153933
editor/doc_tools.c,editor/doc_tools.c,24,70,235,329,359133,editor/doc_tools.c,89,70,235,394,347836
thirdparty/libtheora/state.c,thirdparty/libtheora/state.c,1,6,29,36,15747,thirdparty/libtheora/state.c,9,6,29,44,14838
scene/resources/portable_compressed_texture.c,scene/resources/portable_compressed_texture.c,7,0,36,43,104136,scene/resources/portable_compressed_texture.c,8,0,36,44,103515
editor/export/codesign.c,editor/export/codesign.c,3,24,81,108,193011,editor/export/codesign.c,4,24,81,109,186546
drivers/gles3/storage/light_storage.c,drivers/gles3/storage/light_storage.c,3,30,105,138,169857,drivers/gles3/storage/light_storage.c,15,30,104,149,167742
drivers/gles3/rasterizer_canvas_gles3.c,drivers/gles3/rasterizer_canvas_gles3.c,0,47,76,123,208686,drivers/gles3/rasterizer_canvas_gles3.c,0,47,76,123,208686
scene/animation/animation_tree.c,scene/animation/animation_tree.c,12,75,102,189,378861,scene/animation/animation_tree.c,12,75,101,188,378746
thirdparty/harfbuzz/src/hb-aat-layout.c,thirdparty/harfbuzz/src/hb-aat-layout.c,20,96,201,317,244521,thirdparty/harfbuzz/src/hb-aat-layout.c,25,96,201,322,241892
core/io/ip.c,core/io/ip.c,7,10,45,62,115516,core/io/ip.c,10,10,45,65,114571
core/math/dynamic_bvh.c,core/math/dynamic_bvh.c,1,3,48,52,29259,core/math/dynamic_bvh.c,11,3,48,62,29177
editor/project_converter_3_to_4.c,editor/project_converter_3_to_4.c,31,32,149,212,357136,editor/project_converter_3_to_4.c,29,32,149,210,349632
editor/gui/editor_zoom_widget.c,editor/gui/editor_zoom_widget.c,11,2,11,24,66534,editor/gui/editor_zoom_widget.c,11,2,11,24,66532
editor/export/export_template_manager.c,editor/export/export_template_manager.c,17,19,39,75,153424,editor/export/export_template_manager.c,18,14,30,62,153617
scene/gui/subviewport_container.c,scene/gui/subviewport_container.c,8,6,15,29,69688,scene/gui/subviewport_container.c,8,6,15,29,69660
thirdparty/glslang/spirv/glslangtospv.c,thirdparty/glslang/SPIRV/GlslangToSpv.c,46,112,210,368,549888,thirdparty/glslang/SPIRV/GlslangToSpv.c,47,112,210,369,548097
thirdparty/libvorbis/bitrate.c,thirdparty/libvorbis/bitrate.c,0,0,5,5,4771,thirdparty/libvorbis/bitrate.c,2,0,5,7,4699
thirdparty/harfbuzz/src/hb-ot-name.c,thirdparty/harfbuzz/src/hb-ot-name.c,0,20,27,47,21262,thirdparty/harfbuzz/src/hb-ot-name.c,1,20,27,48,21085
servers/rendering/storage/compositor_storage.c,servers/rendering/storage/compositor_storage.c,1,9,14,24,25478,servers/rendering/storage/compositor_storage.c,3,9,14,26,25353
modules/fbx/fbx_document.c,modules/fbx/fbx_document.c,69,55,159,283,331193,modules/fbx/fbx_document.c,61,52,149,262,297191
editor/gui/editor_bottom_panel.c,editor/gui/editor_bottom_panel.c,10,17,23,50,66433,editor/gui/editor_bottom_panel.c,18,16,24,58,65523
thirdparty/mbedtls/library/psa_crypto_slot_management.c,thirdparty/mbedtls/library/psa_crypto_slot_management.c,1,4,5,10,5351,thirdparty/mbedtls/library/psa_crypto_slot_management.c,2,4,5,11,5343
scene/2d/parallax_layer.c,scene/2d/parallax_layer.c,5,2,14,21,42740,scene/2d/parallax_layer.c,6,2,14,22,42583
thirdparty/icu4c/common/utrie2.c,thirdparty/icu4c/common/utrie2.c,2,1,7,10,10549,thirdparty/icu4c/common/utrie2.c,12,1,7,20,10281
modules/csg/csg_shape.c,modules/csg/csg_shape.c,21,23,86,130,461946,modules/csg/csg_shape.c,36,21,85,142,454407
core/os/os.c,core/os/os.c,5,11,61,77,91086,core/os/os.c,7,11,61,79,90541
modules/gltf/editor/editor_scene_importer_gltf.c,modules/gltf/editor/editor_scene_importer_gltf.c,8,9,31,48,53808,modules/gltf/editor/editor_scene_importer_gltf.c,9,10,30,49,53104
editor/debugger/debug_adapter/debug_adapter_parser.c,editor/debugger/debug_adapter/debug_adapter_parser.c,3,4,13,20,78683,editor/debugger/debug_adapter/debug_adapter_parser.c,6,4,13,23,77985
thirdparty/embree/kernels/bvh/bvh_rotate.c,thirdparty/embree/kernels/bvh/bvh_rotate.c,5,0,2,7,14693,thirdparty/embree/kernels/bvh/bvh_rotate.c,6,0,2,8,14629
drivers/unix/file_access_unix.c,drivers/unix/file_access_unix.c,7,0,7,14,22600,drivers/unix/file_access_unix.c,8,0,7,15,22196
thirdparty/jolt_physics/jolt/physics/collision/collideconvexvstriangles.c,thirdparty/jolt_physics/Jolt/Physics/Collision/CollideConvexVsTriangles.c,0,3,17,20,42038,thirdparty/jolt_physics/Jolt/Physics/Collision/CollideConvexVsTriangles.c,6,3,17,26,41690
thirdparty/xatlas/xatlas.c,thirdparty/xatlas/xatlas.c,13,72,433,518,270908,thirdparty/xatlas/xatlas.c,29,72,433,534,268429
modules/godot_physics_3d/godot_physics_server_3d.c,modules/godot_physics_3d/godot_physics_server_3d.c,4,14,53,71,171418,modules/godot_physics_3d/godot_physics_server_3d.c,11,14,53,78,170735
thirdparty/astcenc/astcenc_find_best_partitioning.c,thirdparty/astcenc/astcenc_find_best_partitioning.c,2,2,26,30,12813,thirdparty/astcenc/astcenc_find_best_partitioning.c,4,2,26,32,12776
modules/websocket/websocket_multiplayer_peer.c,modules/websocket/websocket_multiplayer_peer.c,5,14,32,51,146095,modules/websocket/websocket_multiplayer_peer.c,9,13,32,54,141079
editor/shader_globals_editor.c,editor/shader_globals_editor.c,12,6,28,46,72792,editor/shader_globals_editor.c,12,6,28,46,72792
scene/3d/velocity_tracker_3d.c,scene/3d/velocity_tracker_3d.c,2,0,10,12,39757,scene/3d/velocity_tracker_3d.c,3,0,10,13,39523
thirdparty/freetype/src/bdf/bdf.c,thirdparty/freetype/src/bdf/bdf.c,0,13,22,35,32765,thirdparty/freetype/src/bdf/bdf.c,11,13,22,46,32323
thirdparty/icu4c/i18n/scriptset.c,thirdparty/icu4c/i18n/scriptset.c,3,3,19,25,6068,thirdparty/icu4c/i18n/scriptset.c,4,3,19,26,6031
scene/resources/syntax_highlighter.c,scene/resources/syntax_highlighter.c,11,19,56,86,189178,scene/resources/syntax_highlighter.c,14,19,56,89,188438
editor/export/editor_export_plugin.c,editor/export/editor_export_plugin.c,3,5,33,41,201197,editor/export/editor_export_plugin.c,7,5,33,45,200339
thirdparty/freetype/src/raster/raster.c,thirdparty/freetype/src/raster/raster.c,4,8,20,32,25870,thirdparty/freetype/src/raster/raster.c,8,8,20,36,25675
editor/plugins/resource_preloader_editor_plugin.c,editor/plugins/resource_preloader_editor_plugin.c,14,23,38,75,104204,editor/plugins/resource_preloader_editor_plugin.c,14,23,38,75,104204
editor/plugins/root_motion_editor_plugin.c,editor/plugins/root_motion_editor_plugin.c,12,7,31,50,68930,editor/plugins/root_motion_editor_plugin.c,12,7,31,50,68930
modules/gdscript/gdscript_cache.c,modules/gdscript/gdscript_cache.c,3,16,87,106,126423,modules/gdscript/gdscript_cache.c,7,16,87,110,122969
core/math/projection.c,core/math/projection.c,0,0,16,16,33317,core/math/projection.c,12,0,16,28,32571
scene/theme/theme_db.c,scene/theme/theme_db.c,9,33,86,128,181374,scene/theme/theme_db.c,10,29,78,117,178827
scene/3d/decal.c,scene/3d/decal.c,5,1,13,19,111039,scene/3d/decal.c,6,1,13,20,110605
editor/themes/editor_theme.c,editor/themes/editor_theme.c,5,20,23,48,59958,editor/themes/editor_theme.c,6,20,23,49,59629
servers/rendering/renderer_rd/effects/debug_effects.c,servers/rendering/renderer_rd/effects/debug_effects.c,5,8,34,47,51393,servers/rendering/renderer_rd/effects/debug_effects.c,6,8,34,48,51205
thirdparty/embree/kernels/bvh/bvh_builder_twolevel.c,thirdparty/embree/kernels/bvh/bvh_builder_twolevel.c,46,109,221,376,633260,thirdparty/embree/kernels/bvh/bvh_builder_twolevel.c,46,109,221,376,633260
thirdparty/jolt_physics/jolt/renderer/debugrenderer.c,thirdparty/jolt_physics/Jolt/Renderer/DebugRenderer.c,26,49,165,240,158377,thirdparty/jolt_physics/Jolt/Renderer/DebugRenderer.c,49,49,160,258,150037
core/variant/callable.c,core/variant/callable.c,1,11,17,29,31049,core/variant/callable.c,3,11,17,31,30865
thirdparty/graphite/src/glyphcache.c,thirdparty/graphite/src/GlyphCache.c,1,2,9,12,12939,thirdparty/graphite/src/GlyphCache.c,5,2,9,16,12337
thirdparty/embree/kernels/bvh/bvh4_factory.c,thirdparty/embree/kernels/bvh/bvh4_factory.c,32,0,0,32,79781,thirdparty/embree/kernels/bvh/bvh4_factory.c,105,0,0,105,73522
scene/resources/visual_shader_nodes.c,scene/resources/visual_shader_nodes.c,90,14,170,274,1650322,scene/resources/visual_shader_nodes.c,94,14,170,278,1640458
core/crypto/crypto.c,core/crypto/crypto.c,6,0,11,17,186090,core/crypto/crypto.c,9,0,11,20,184604
thirdparty/glslang/spirv/spvremapper.c,thirdparty/glslang/SPIRV/SPVRemapper.c,13,77,85,175,138665,thirdparty/glslang/SPIRV/SPVRemapper.c,31,77,85,193,136825
thirdparty/libpng/pngwrite.c,thirdparty/libpng/pngwrite.c,3,2,19,24,20908,thirdparty/libpng/pngwrite.c,4,2,19,25,20858
scene/3d/camera_3d.c,scene/3d/camera_3d.c,5,5,17,27,265843,scene/3d/camera_3d.c,7,5,17,29,264866
thirdparty/harfbuzz/src/hb-ft.c,thirdparty/harfbuzz/src/hb-ft.c,3,1,11,15,22051,thirdparty/harfbuzz/src/hb-ft.c,4,1,11,16,21984
thirdparty/embree/common/lexers/tokenstream.c,thirdparty/embree/common/lexers/tokenstream.c,3,6,23,32,136527,thirdparty/embree/common/lexers/tokenstream.c,5,6,23,34,136416
editor/event_listener_line_edit.c,editor/event_listener_line_edit.c,6,4,19,29,56843,editor/event_listener_line_edit.c,9,4,19,32,56552
thirdparty/jolt_physics/jolt/physics/collision/shape/meshshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/MeshShape.c,29,22,131,182,238606,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/MeshShape.c,31,22,131,184,238530
thirdparty/jolt_physics/jolt/physics/vehicle/vehicleconstraint.c,thirdparty/jolt_physics/Jolt/Physics/Vehicle/VehicleConstraint.c,12,10,17,39,69022,thirdparty/jolt_physics/Jolt/Physics/Vehicle/VehicleConstraint.c,12,10,17,39,69022
thirdparty/vhacd/src/btconvexhullcomputer.c,thirdparty/vhacd/src/btConvexHullComputer.c,9,26,81,116,72412,thirdparty/vhacd/src/btConvexHullComputer.c,12,26,81,119,71913
modules/navigation/2d/nav_mesh_generator_2d.c,modules/navigation/2d/nav_mesh_generator_2d.c,35,29,94,158,127210,modules/navigation/2d/nav_mesh_generator_2d.c,37,29,94,160,122649
modules/godot_physics_3d/joints/godot_cone_twist_joint_3d.c,modules/godot_physics_3d/joints/godot_cone_twist_joint_3d.c,0,4,12,16,28621,modules/godot_physics_3d/joints/godot_cone_twist_joint_3d.c,2,4,12,18,28405
core/io/remote_filesystem_client.c,core/io/remote_filesystem_client.c,1,8,39,48,44325,core/io/remote_filesystem_client.c,2,8,39,49,44159
scene/resources/compressed_texture.c,scene/resources/compressed_texture.c,16,2,15,33,109167,scene/resources/compressed_texture.c,19,2,15,36,107885
scene/gui/control.c,scene/gui/control.c,10,88,231,329,918333,scene/gui/control.c,21,88,231,340,911210
editor/node_dock.c,editor/node_dock.c,8,2,7,17,48071,editor/node_dock.c,8,2,7,17,48067
thirdparty/libwebp/src/dsp/lossless_sse2.c,thirdparty/libwebp/src/dsp/lossless_sse2.c,0,1,20,21,80717,thirdparty/libwebp/src/dsp/lossless_sse2.c,16,1,20,37,79509
modules/openxr/extensions/openxr_dpad_binding_extension.c,modules/openxr/extensions/openxr_dpad_binding_extension.c,6,1,14,21,103362,modules/openxr/extensions/openxr_dpad_binding_extension.c,9,1,14,24,102327
editor/plugins/dedicated_server_export_plugin.c,editor/plugins/dedicated_server_export_plugin.c,3,3,11,17,25698,editor/plugins/dedicated_server_export_plugin.c,4,3,11,18,25457
thirdparty/mbedtls/library/ripemd160.c,thirdparty/mbedtls/library/ripemd160.c,3,0,3,6,14252,thirdparty/mbedtls/library/ripemd160.c,5,0,3,8,14178
editor/editor_dock_manager.c,editor/editor_dock_manager.c,21,28,58,107,171481,editor/editor_dock_manager.c,21,28,58,107,171438
drivers/gles3/storage/utilities.c,drivers/gles3/storage/utilities.c,0,6,30,36,52277,drivers/gles3/storage/utilities.c,3,6,30,39,51989
editor/plugins/editor_plugin.c,editor/plugins/editor_plugin.c,3,8,32,43,382888,editor/plugins/editor_plugin.c,11,8,32,51,380632
scene/3d/skeleton_modifier_3d.c,scene/3d/skeleton_modifier_3d.c,4,3,15,22,57405,scene/3d/skeleton_modifier_3d.c,4,3,15,22,57387
