file,File,for loops,while loops,do-while loops,total,File,for/loops,while/loops,do-while/loops,total
thirdparty/jolt_physics/jolt/physics/collision/shape/convexhullshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/ConvexHullShape.c,16,13,74,29,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/ConvexHullShape.c,17,13,74,104
thirdparty/libwebp/src/dsp/lossless_sse2.c,thirdparty/libwebp/src/dsp/lossless_sse2.c,0,1,20,1,thirdparty/libwebp/src/dsp/lossless_sse2.c,16,1,20,37
thirdparty/icu4c/common/loclikelysubtags.c,thirdparty/icu4c/common/loclikelysubtags.c,4,4,14,8,thirdparty/icu4c/common/loclikelysubtags.c,9,4,14,27
scene/main/multiplayer_peer.c,scene/main/multiplayer_peer.c,5,2,32,7,scene/main/multiplayer_peer.c,5,2,32,39
editor/plugins/material_editor_plugin.c,editor/plugins/material_editor_plugin.c,30,6,17,36,editor/plugins/material_editor_plugin.c,30,6,17,53
thirdparty/harfbuzz/src/hb-map.c,thirdparty/harfbuzz/src/hb-map.c,3,10,21,13,thirdparty/harfbuzz/src/hb-map.c,4,10,21,35
thirdparty/openxr/src/external/jsoncpp/src/lib_json/json_reader.c,thirdparty/openxr/src/external/jsoncpp/src/lib_json/json_reader.c,8,41,82,49,thirdparty/openxr/src/external/jsoncpp/src/lib_json/json_reader.c,20,41,82,143
servers/navigation_server_3d.c,servers/navigation_server_3d.c,12,5,38,17,servers/navigation_server_3d.c,12,5,38,55
editor/editor_run_native.c,editor/editor_run_native.c,10,5,12,15,editor/editor_run_native.c,10,5,12,27
editor/plugins/packed_scene_editor_plugin.c,editor/plugins/packed_scene_editor_plugin.c,15,4,12,19,editor/plugins/packed_scene_editor_plugin.c,15,4,12,31
platform/linuxbsd/tts_linux.c,platform/linuxbsd/tts_linux.c,2,12,29,14,platform/linuxbsd/tts_linux.c,3,12,29,44
core/io/packed_data_container.c,core/io/packed_data_container.c,6,6,69,12,core/io/packed_data_container.c,8,6,69,83
servers/physics_server_2d.c,servers/physics_server_2d.c,12,14,72,26,servers/physics_server_2d.c,13,14,72,99
core/math/geometry_3d.c,core/math/geometry_3d.c,2,13,68,15,core/math/geometry_3d.c,3,13,68,84
scene/gui/graph_node.c,scene/gui/graph_node.c,10,14,40,24,scene/gui/graph_node.c,10,14,40,64
scene/gui/split_container.c,scene/gui/split_container.c,6,1,13,7,scene/gui/split_container.c,6,1,13,20
scene/animation/root_motion_view.c,scene/animation/root_motion_view.c,4,0,20,4,scene/animation/root_motion_view.c,5,0,20,25
scene/3d/cpu_particles_3d.c,scene/3d/cpu_particles_3d.c,33,17,71,50,scene/3d/cpu_particles_3d.c,44,17,71,132
editor/import/3d/post_import_plugin_skeleton_rest_fixer.c,editor/import/3d/post_import_plugin_skeleton_rest_fixer.c,11,26,58,37,editor/import/3d/post_import_plugin_skeleton_rest_fixer.c,15,26,58,99
modules/openxr/openxr_api_extension.c,modules/openxr/openxr_api_extension.c,3,1,14,4,modules/openxr/openxr_api_extension.c,5,1,14,20
thirdparty/vhacd/src/btconvexhullcomputer.c,thirdparty/vhacd/src/btConvexHullComputer.c,9,26,81,35,thirdparty/vhacd/src/btConvexHullComputer.c,12,26,81,119
modules/enet/enet_connection.c,modules/enet/enet_connection.c,6,3,35,9,modules/enet/enet_connection.c,13,3,35,51
editor/export/editor_export_platform.c,editor/export/editor_export_platform.c,34,56,151,90,editor/export/editor_export_platform.c,38,50,149,237
thirdparty/graphite/src/silf.c,thirdparty/graphite/src/Silf.c,2,6,8,8,thirdparty/graphite/src/Silf.c,3,6,8,17
thirdparty/openxr/src/loader/loader_core.c,thirdparty/openxr/src/loader/loader_core.c,20,4,38,24,thirdparty/openxr/src/loader/loader_core.c,23,4,38,65
editor/editor_locale_dialog.c,editor/editor_locale_dialog.c,13,9,24,22,editor/editor_locale_dialog.c,13,9,24,46
modules/multiplayer/scene_multiplayer.c,modules/multiplayer/scene_multiplayer.c,10,13,69,23,modules/multiplayer/scene_multiplayer.c,10,13,69,92
thirdparty/freetype/src/pcf/pcf.c,thirdparty/freetype/src/pcf/pcf.c,0,3,23,3,thirdparty/freetype/src/pcf/pcf.c,3,3,23,29
thirdparty/icu4c/common/loclikely.c,thirdparty/icu4c/common/loclikely.c,0,2,2,2,thirdparty/icu4c/common/loclikely.c,0,2,2,4
thirdparty/manifold/src/quickhull.c,thirdparty/manifold/src/quickhull.c,10,13,43,23,thirdparty/manifold/src/quickhull.c,19,13,43,75
core/io/ip.c,core/io/ip.c,7,10,45,17,core/io/ip.c,10,10,45,65
editor/project_manager/quick_settings_dialog.c,editor/project_manager/quick_settings_dialog.c,13,18,23,31,editor/project_manager/quick_settings_dialog.c,13,18,23,54
editor/editor_asset_installer.c,editor/editor_asset_installer.c,19,19,60,38,editor/editor_asset_installer.c,19,19,60,98
editor/plugins/animation_tree_editor_plugin.c,editor/plugins/animation_tree_editor_plugin.c,13,13,16,26,editor/plugins/animation_tree_editor_plugin.c,13,13,16,42
thirdparty/libwebp/src/dsp/alpha_processing_sse2.c,thirdparty/libwebp/src/dsp/alpha_processing_sse2.c,1,2,21,3,thirdparty/libwebp/src/dsp/alpha_processing_sse2.c,4,2,21,27
servers/rendering/rendering_device_binds.c,servers/rendering/rendering_device_binds.c,5,5,34,10,servers/rendering/rendering_device_binds.c,6,5,34,45
modules/openxr/editor/openxr_interaction_profile_editor.c,modules/openxr/editor/openxr_interaction_profile_editor.c,17,14,31,31,modules/openxr/editor/openxr_interaction_profile_editor.c,17,14,31,62
core/object/script_language.c,core/object/script_language.c,14,76,186,90,core/object/script_language.c,15,76,186,277
thirdparty/jolt_physics/jolt/physics/softbody/softbodysharedsettings.c,thirdparty/jolt_physics/Jolt/Physics/SoftBody/SoftBodySharedSettings.c,78,63,171,141,thirdparty/jolt_physics/Jolt/Physics/SoftBody/SoftBodySharedSettings.c,78,63,171,312
servers/rendering/renderer_viewport.c,servers/rendering/renderer_viewport.c,6,19,86,25,servers/rendering/renderer_viewport.c,6,19,86,111
modules/gdscript/editor/gdscript_translation_parser_plugin.c,modules/gdscript/editor/gdscript_translation_parser_plugin.c,6,10,42,16,modules/gdscript/editor/gdscript_translation_parser_plugin.c,7,10,41,58
thirdparty/libwebp/src/dec/vp8_dec.c,thirdparty/libwebp/src/dec/vp8_dec.c,23,3,15,26,thirdparty/libwebp/src/dec/vp8_dec.c,24,3,15,42
editor/editor_data.c,editor/editor_data.c,15,60,160,75,editor/editor_data.c,16,60,160,236
thirdparty/harfbuzz/src/hb-ot-math.c,thirdparty/harfbuzz/src/hb-ot-math.c,0,7,25,7,thirdparty/harfbuzz/src/hb-ot-math.c,1,7,25,33
core/io/file_access.c,core/io/file_access.c,4,6,37,10,core/io/file_access.c,5,6,37,48
servers/physics_server_3d.c,servers/physics_server_3d.c,14,15,89,29,servers/physics_server_3d.c,15,15,87,117
thirdparty/libvorbis/sharedbook.c,thirdparty/libvorbis/sharedbook.c,5,4,10,9,thirdparty/libvorbis/sharedbook.c,6,4,10,20
thirdparty/icu4c/common/uresbund.c,thirdparty/icu4c/common/uresbund.c,24,10,23,34,thirdparty/icu4c/common/uresbund.c,21,7,18,46
scene/gui/video_stream_player.c,scene/gui/video_stream_player.c,5,4,20,9,scene/gui/video_stream_player.c,6,4,20,30
modules/gltf/extensions/physics/gltf_document_extension_physics.c,modules/gltf/extensions/physics/gltf_document_extension_physics.c,12,6,11,18,modules/gltf/extensions/physics/gltf_document_extension_physics.c,13,6,11,30
core/math/triangle_mesh.c,core/math/triangle_mesh.c,3,25,56,28,core/math/triangle_mesh.c,5,25,56,86
thirdparty/harfbuzz/src/hb-ot-cff1-table.c,thirdparty/harfbuzz/src/hb-ot-cff1-table.c,2,8,42,10,thirdparty/harfbuzz/src/hb-ot-cff1-table.c,4,8,42,54
thirdparty/embree/kernels/common/scene.c,thirdparty/embree/kernels/common/scene.c,1,29,26,30,thirdparty/embree/kernels/common/scene.c,1,29,26,56
editor/uid_upgrade_tool.c,editor/uid_upgrade_tool.c,9,8,16,17,editor/uid_upgrade_tool.c,9,8,16,33
scene/resources/image_texture.c,scene/resources/image_texture.c,19,4,40,23,scene/resources/image_texture.c,21,4,40,65
servers/camera/camera_feed.c,servers/camera/camera_feed.c,3,0,25,3,servers/camera/camera_feed.c,5,0,14,19
thirdparty/basis_universal/transcoder/basisu_transcoder.c,thirdparty/basis_universal/transcoder/basisu_transcoder.c,27,71,508,98,thirdparty/basis_universal/transcoder/basisu_transcoder.c,55,57,457,569
modules/gdscript/gdscript_parser.c,modules/gdscript/gdscript_parser.c,39,166,416,205,modules/gdscript/gdscript_parser.c,51,124,408,583
modules/openxr/editor/openxr_binding_modifiers_dialog.c,modules/openxr/editor/openxr_binding_modifiers_dialog.c,11,5,12,16,modules/openxr/editor/openxr_binding_modifiers_dialog.c,11,5,12,28
editor/plugins/gradient_texture_2d_editor_plugin.c,editor/plugins/gradient_texture_2d_editor_plugin.c,18,8,13,26,editor/plugins/gradient_texture_2d_editor_plugin.c,18,8,13,39
thirdparty/glslang/glslang/machineindependent/intermout.c,thirdparty/glslang/glslang/MachineIndependent/intermOut.c,10,2,25,12,thirdparty/glslang/glslang/MachineIndependent/intermOut.c,15,2,25,42
core/math/transform_3d.c,core/math/transform_3d.c,0,0,1,0,core/math/transform_3d.c,2,0,1,3
servers/rendering/storage/compositor_storage.c,servers/rendering/storage/compositor_storage.c,1,9,14,10,servers/rendering/storage/compositor_storage.c,3,9,14,26
thirdparty/mbedtls/library/ssl_tls13_generic.c,thirdparty/mbedtls/library/ssl_tls13_generic.c,2,3,3,5,thirdparty/mbedtls/library/ssl_tls13_generic.c,3,3,3,9
editor/debugger/editor_debugger_node.c,editor/debugger/editor_debugger_node.c,17,47,64,64,editor/debugger/editor_debugger_node.c,17,47,64,128
modules/csg/csg.c,modules/csg/csg.c,2,4,15,6,modules/csg/csg.c,3,4,15,22
thirdparty/glslang/glslang/machineindependent/intermediate.c,thirdparty/glslang/glslang/MachineIndependent/Intermediate.c,17,5,49,22,thirdparty/glslang/glslang/MachineIndependent/Intermediate.c,19,5,36,60
thirdparty/libwebp/src/dsp/dec.c,thirdparty/libwebp/src/dsp/dec.c,0,5,41,5,thirdparty/libwebp/src/dsp/dec.c,15,5,41,61
core/math/geometry_2d.c,core/math/geometry_2d.c,18,32,87,50,core/math/geometry_2d.c,18,32,87,137
modules/godot_physics_3d/joints/godot_generic_6dof_joint_3d.c,modules/godot_physics_3d/joints/godot_generic_6dof_joint_3d.c,0,3,17,3,modules/godot_physics_3d/joints/godot_generic_6dof_joint_3d.c,7,3,17,27
modules/godot_physics_2d/godot_body_pair_2d.c,modules/godot_physics_2d/godot_body_pair_2d.c,2,6,10,8,modules/godot_physics_2d/godot_body_pair_2d.c,4,6,10,20
modules/openxr/extensions/openxr_dpad_binding_extension.c,modules/openxr/extensions/openxr_dpad_binding_extension.c,6,1,14,7,modules/openxr/extensions/openxr_dpad_binding_extension.c,6,1,14,21
drivers/gles3/storage/particles_storage.c,drivers/gles3/storage/particles_storage.c,2,42,69,44,drivers/gles3/storage/particles_storage.c,20,42,69,131
thirdparty/vulkan/vk_mem_alloc.c,thirdparty/vulkan/vk_mem_alloc.c,53,48,171,101,thirdparty/vulkan/vk_mem_alloc.c,71,48,171,290
editor/plugins/navigation_obstacle_3d_editor_plugin.c,editor/plugins/navigation_obstacle_3d_editor_plugin.c,19,9,32,28,editor/plugins/navigation_obstacle_3d_editor_plugin.c,19,9,32,60
editor/project_manager.c,editor/project_manager.c,23,43,115,66,editor/project_manager.c,23,43,115,181
thirdparty/mbedtls/library/ccm.c,thirdparty/mbedtls/library/ccm.c,2,2,9,4,thirdparty/mbedtls/library/ccm.c,4,2,9,15
servers/rendering/renderer_rd/renderer_scene_render_rd.c,servers/rendering/renderer_rd/renderer_scene_render_rd.c,4,11,44,15,servers/rendering/renderer_rd/renderer_scene_render_rd.c,4,11,44,59
thirdparty/glslang/glslang/machineindependent/glslang_tab.c,thirdparty/glslang/glslang/MachineIndependent/glslang_tab.c,23,9,66,32,thirdparty/glslang/glslang/MachineIndependent/glslang_tab.c,28,9,63,100
thirdparty/embree/kernels/common/geometry.c,thirdparty/embree/kernels/common/geometry.c,0,1,4,1,thirdparty/embree/kernels/common/geometry.c,1,1,4,6
thirdparty/jolt_physics/jolt/physics/vehicle/wheeledvehiclecontroller.c,thirdparty/jolt_physics/Jolt/Physics/Vehicle/WheeledVehicleController.c,4,7,34,11,thirdparty/jolt_physics/Jolt/Physics/Vehicle/WheeledVehicleController.c,4,7,34,45
thirdparty/embree/kernels/bvh/bvh_builder_sah_spatial.c,thirdparty/embree/kernels/bvh/bvh_builder_sah_spatial.c,35,77,184,112,thirdparty/embree/kernels/bvh/bvh_builder_sah_spatial.c,35,77,184,296
thirdparty/manifold/src/smoothing.c,thirdparty/manifold/src/smoothing.c,5,41,59,46,thirdparty/manifold/src/smoothing.c,5,41,59,105
thirdparty/harfbuzz/src/hb-subset-instancer-solver.c,thirdparty/harfbuzz/src/hb-subset-instancer-solver.c,0,0,3,0,thirdparty/harfbuzz/src/hb-subset-instancer-solver.c,1,0,3,4
editor/export/export_template_manager.c,editor/export/export_template_manager.c,18,19,39,37,editor/export/export_template_manager.c,18,19,39,76
editor/editor_properties.c,editor/editor_properties.c,55,134,276,189,editor/editor_properties.c,55,134,276,465
servers/rendering/renderer_rd/shader_rd.c,servers/rendering/renderer_rd/shader_rd.c,12,54,145,66,servers/rendering/renderer_rd/shader_rd.c,23,54,143,220
scene/3d/label_3d.c,scene/3d/label_3d.c,15,9,47,24,scene/3d/label_3d.c,22,9,47,78
core/io/file_access_zip.c,core/io/file_access_zip.c,3,5,20,8,core/io/file_access_zip.c,4,5,20,29
editor/plugins/camera_3d_editor_plugin.c,editor/plugins/camera_3d_editor_plugin.c,15,8,13,23,editor/plugins/camera_3d_editor_plugin.c,15,8,13,36
scene/2d/physics/physical_bone_2d.c,scene/2d/physics/physical_bone_2d.c,8,2,19,10,scene/2d/physics/physical_bone_2d.c,8,2,19,29
modules/navigation/3d/nav_map_builder_3d.c,modules/navigation/3d/nav_map_builder_3d.c,4,8,33,12,modules/navigation/3d/nav_map_builder_3d.c,6,8,33,47
scene/resources/shader.c,scene/resources/shader.c,6,14,61,20,scene/resources/shader.c,10,14,61,85
thirdparty/harfbuzz/src/hb-unicode.c,thirdparty/harfbuzz/src/hb-unicode.c,0,3,5,3,thirdparty/harfbuzz/src/hb-unicode.c,1,3,5,9
thirdparty/manifold/src/boolean_result.c,thirdparty/manifold/src/boolean_result.c,10,29,77,39,thirdparty/manifold/src/boolean_result.c,10,29,77,116
modules/ogg/register_types.c,modules/ogg/register_types.c,4,0,9,4,modules/ogg/register_types.c,4,0,9,13
thirdparty/tinyexr/tinyexr.c,thirdparty/tinyexr/tinyexr.c,44,35,312,79,thirdparty/tinyexr/tinyexr.c,71,35,312,418
editor/run_instances_dialog.c,editor/run_instances_dialog.c,13,11,30,24,editor/run_instances_dialog.c,13,11,30,54
thirdparty/freetype/src/autofit/autofit.c,thirdparty/freetype/src/autofit/autofit.c,25,34,116,59,thirdparty/freetype/src/autofit/autofit.c,32,34,116,182
thirdparty/libtheora/decode.c,thirdparty/libtheora/decode.c,7,6,67,13,thirdparty/libtheora/decode.c,14,6,67,87
core/io/image.c,core/io/image.c,11,24,389,35,core/io/image.c,13,24,389,426
scene/resources/audio_stream_polyphonic.c,scene/resources/audio_stream_polyphonic.c,13,2,23,15,scene/resources/audio_stream_polyphonic.c,13,2,23,38
thirdparty/zstd/compress/zstd_lazy.c,thirdparty/zstd/compress/zstd_lazy.c,560,93,361,653,thirdparty/zstd/compress/zstd_lazy.c,602,93,361,1056
editor/groups_editor.c,editor/groups_editor.c,17,40,115,57,editor/groups_editor.c,17,40,115,172
editor/engine_update_label.c,editor/engine_update_label.c,7,3,22,10,editor/engine_update_label.c,7,3,22,32
scene/resources/style_box_texture.c,scene/resources/style_box_texture.c,5,0,8,5,scene/resources/style_box_texture.c,8,0,8,16
modules/godot_physics_3d/joints/godot_slider_joint_3d.c,modules/godot_physics_3d/joints/godot_slider_joint_3d.c,0,4,15,4,modules/godot_physics_3d/joints/godot_slider_joint_3d.c,3,4,15,22
modules/jolt_physics/shapes/jolt_shape_instance_3d.c,modules/jolt_physics/shapes/jolt_shape_instance_3d.c,0,0,2,0,modules/jolt_physics/shapes/jolt_shape_instance_3d.c,1,0,2,3
thirdparty/glslang/glslang/machineindependent/linkvalidate.c,thirdparty/glslang/glslang/MachineIndependent/linkValidate.c,18,38,129,56,thirdparty/glslang/glslang/MachineIndependent/linkValidate.c,21,38,128,187
editor/plugins/tiles/tile_set_scenes_collection_source_editor.c,editor/plugins/tiles/tile_set_scenes_collection_source_editor.c,18,14,28,32,editor/plugins/tiles/tile_set_scenes_collection_source_editor.c,18,14,28,60
scene/2d/physics/joints/pin_joint_2d.c,scene/2d/physics/joints/pin_joint_2d.c,6,0,18,6,scene/2d/physics/joints/pin_joint_2d.c,8,0,18,26
thirdparty/graphite/src/face.c,thirdparty/graphite/src/Face.c,0,0,8,0,thirdparty/graphite/src/Face.c,2,0,8,10
thirdparty/freetype/src/type42/type42.c,thirdparty/freetype/src/type42/type42.c,1,3,12,4,thirdparty/freetype/src/type42/type42.c,6,3,12,21
editor/plugins/sprite_2d_editor_plugin.c,editor/plugins/sprite_2d_editor_plugin.c,29,23,50,52,editor/plugins/sprite_2d_editor_plugin.c,29,23,50,102
servers/rendering/dummy/storage/material_storage.c,servers/rendering/dummy/storage/material_storage.c,0,44,129,44,servers/rendering/dummy/storage/material_storage.c,2,44,129,175
scene/animation/animation_blend_space_2d.c,scene/animation/animation_blend_space_2d.c,8,15,63,23,scene/animation/animation_blend_space_2d.c,8,15,63,86
modules/upnp/upnp_device_miniupnp.c,modules/upnp/upnp_device_miniupnp.c,4,0,5,4,modules/upnp/upnp_device_miniupnp.c,6,0,5,11
modules/gdscript/gdscript_compiler.c,modules/gdscript/gdscript_compiler.c,24,59,214,83,modules/gdscript/gdscript_compiler.c,45,59,214,318
modules/godot_physics_3d/godot_space_3d.c,modules/godot_physics_3d/godot_space_3d.c,10,17,61,27,modules/godot_physics_3d/godot_space_3d.c,12,17,61,90
scene/3d/voxelizer.c,scene/3d/voxelizer.c,6,14,82,20,scene/3d/voxelizer.c,18,14,79,111
thirdparty/mbedtls/library/psa_crypto_slot_management.c,thirdparty/mbedtls/library/psa_crypto_slot_management.c,1,4,5,5,thirdparty/mbedtls/library/psa_crypto_slot_management.c,2,4,5,11
modules/multiplayer/editor/replication_editor.c,modules/multiplayer/editor/replication_editor.c,12,18,42,30,modules/multiplayer/editor/replication_editor.c,12,18,42,72
modules/openxr/action_map/openxr_interaction_profile_metadata.c,modules/openxr/action_map/openxr_interaction_profile_metadata.c,7,13,48,20,modules/openxr/action_map/openxr_interaction_profile_metadata.c,11,13,48,72
scene/3d/navigation_region_3d.c,scene/3d/navigation_region_3d.c,8,8,32,16,scene/3d/navigation_region_3d.c,8,8,32,48
core/input/input.c,core/input/input.c,21,61,130,82,core/input/input.c,32,61,129,222
core/object/object.c,core/object/object.c,17,46,127,63,core/object/object.c,23,46,127,196
modules/godot_physics_3d/godot_body_pair_3d.c,modules/godot_physics_3d/godot_body_pair_3d.c,1,18,23,19,modules/godot_physics_3d/godot_body_pair_3d.c,8,18,23,49
modules/mobile_vr/mobile_vr_interface.c,modules/mobile_vr/mobile_vr_interface.c,5,0,9,5,modules/mobile_vr/mobile_vr_interface.c,5,0,9,14
editor/editor_layouts_dialog.c,editor/editor_layouts_dialog.c,17,6,25,23,editor/editor_layouts_dialog.c,17,6,25,48
scene/debugger/scene_debugger.c,scene/debugger/scene_debugger.c,15,67,161,82,scene/debugger/scene_debugger.c,22,66,160,248
thirdparty/embree/kernels/common/acceln.c,thirdparty/embree/kernels/common/acceln.c,0,0,16,0,thirdparty/embree/kernels/common/acceln.c,0,0,16,16
thirdparty/cvtt/convectionkernels_s3tc.c,thirdparty/cvtt/ConvectionKernels_S3TC.c,1,5,105,6,thirdparty/cvtt/ConvectionKernels_S3TC.c,10,5,105,120
editor/plugins/mesh_editor_plugin.c,editor/plugins/mesh_editor_plugin.c,18,2,6,20,editor/plugins/mesh_editor_plugin.c,18,2,6,26
thirdparty/spirv-reflect/spirv_reflect.c,thirdparty/spirv-reflect/spirv_reflect.c,15,68,160,83,thirdparty/spirv-reflect/spirv_reflect.c,19,68,160,247
modules/noise/editor/noise_editor_plugin.c,modules/noise/editor/noise_editor_plugin.c,12,2,17,14,modules/noise/editor/noise_editor_plugin.c,12,2,17,31
thirdparty/mbedtls/library/chacha20.c,thirdparty/mbedtls/library/chacha20.c,0,0,6,0,thirdparty/mbedtls/library/chacha20.c,1,0,6,7
scene/resources/mesh_data_tool.c,scene/resources/mesh_data_tool.c,3,6,34,9,scene/resources/mesh_data_tool.c,9,6,34,49
thirdparty/thorvg/src/renderer/sw_engine/tvgswrenderer.c,thirdparty/thorvg/src/renderer/sw_engine/tvgSwRenderer.c,0,2,15,2,thirdparty/thorvg/src/renderer/sw_engine/tvgSwRenderer.c,1,2,15,18
scene/gui/popup_menu.c,scene/gui/popup_menu.c,18,27,95,45,scene/gui/popup_menu.c,19,26,79,124
thirdparty/jolt_physics/jolt/physics/constraints/fixedconstraint.c,thirdparty/jolt_physics/Jolt/Physics/Constraints/FixedConstraint.c,0,0,10,0,thirdparty/jolt_physics/Jolt/Physics/Constraints/FixedConstraint.c,0,0,10,10
core/core_bind.c,core/core_bind.c,20,66,200,86,core/core_bind.c,43,66,200,309
editor/import/audio_stream_import_settings.c,editor/import/audio_stream_import_settings.c,22,11,38,33,editor/import/audio_stream_import_settings.c,22,11,38,71
thirdparty/mbedtls/library/x509.c,thirdparty/mbedtls/library/x509.c,1,4,7,5,thirdparty/mbedtls/library/x509.c,2,4,7,13
scene/resources/particle_process_material.c,scene/resources/particle_process_material.c,6,11,41,17,scene/resources/particle_process_material.c,32,11,41,84
thirdparty/harfbuzz/src/hb-face.c,thirdparty/harfbuzz/src/hb-face.c,1,23,71,24,thirdparty/harfbuzz/src/hb-face.c,10,23,71,104
thirdparty/icu4c/common/dictbe.c,thirdparty/icu4c/common/dictbe.c,2,16,40,18,thirdparty/icu4c/common/dictbe.c,10,16,40,66
scene/resources/3d/sky_material.c,scene/resources/3d/sky_material.c,7,3,9,10,scene/resources/3d/sky_material.c,7,3,9,19
thirdparty/miniupnpc/src/miniupnpc.c,thirdparty/miniupnpc/src/miniupnpc.c,7,6,10,13,thirdparty/miniupnpc/src/miniupnpc.c,8,6,10,24
drivers/unix/net_socket_unix.c,drivers/unix/net_socket_unix.c,6,2,7,8,drivers/unix/net_socket_unix.c,8,2,7,17
scene/resources/video_stream.c,scene/resources/video_stream.c,5,2,15,7,scene/resources/video_stream.c,5,2,15,22
editor/filesystem_dock.c,editor/filesystem_dock.c,44,99,269,143,editor/filesystem_dock.c,44,99,269,412
editor/project_manager/project_tag.c,editor/project_manager/project_tag.c,10,0,11,10,editor/project_manager/project_tag.c,10,0,11,21
scene/gui/scroll_bar.c,scene/gui/scroll_bar.c,6,4,11,10,scene/gui/scroll_bar.c,9,4,11,24
scene/gui/menu_button.c,scene/gui/menu_button.c,7,4,24,11,scene/gui/menu_button.c,7,4,24,35
thirdparty/jolt_physics/jolt/physics/collision/collideconvexvstriangles.c,thirdparty/jolt_physics/Jolt/Physics/Collision/CollideConvexVsTriangles.c,0,3,17,3,thirdparty/jolt_physics/Jolt/Physics/Collision/CollideConvexVsTriangles.c,6,3,17,26
thirdparty/jolt_physics/jolt/core/factory.c,thirdparty/jolt_physics/Jolt/Core/Factory.c,14,13,27,27,thirdparty/jolt_physics/Jolt/Core/Factory.c,18,13,27,58
scene/resources/style_box_flat.c,scene/resources/style_box_flat.c,5,2,17,7,scene/resources/style_box_flat.c,9,2,17,28
modules/fbx/editor/editor_scene_importer_fbx2gltf.c,modules/fbx/editor/editor_scene_importer_fbx2gltf.c,8,10,34,18,modules/fbx/editor/editor_scene_importer_fbx2gltf.c,8,10,34,52
scene/gui/spin_box.c,scene/gui/spin_box.c,6,10,18,16,scene/gui/spin_box.c,14,10,18,42
scene/3d/visual_instance_3d.c,scene/3d/visual_instance_3d.c,6,9,33,15,scene/3d/visual_instance_3d.c,6,9,33,48
editor/editor_build_profile.c,editor/editor_build_profile.c,24,47,116,71,editor/editor_build_profile.c,24,47,116,187
core/io/resource_loader.c,core/io/resource_loader.c,13,43,150,56,core/io/resource_loader.c,16,43,150,209
thirdparty/icu4c/common/util.c,thirdparty/icu4c/common/util.c,0,3,7,3,thirdparty/icu4c/common/util.c,2,3,7,12
modules/openxr/extensions/openxr_extension_wrapper_extension.c,modules/openxr/extensions/openxr_extension_wrapper_extension.c,5,3,19,8,modules/openxr/extensions/openxr_extension_wrapper_extension.c,22,3,19,44
scene/gui/option_button.c,scene/gui/option_button.c,11,10,39,21,scene/gui/option_button.c,11,10,39,60
thirdparty/embree/kernels/common/scene_triangle_mesh.c,thirdparty/embree/kernels/common/scene_triangle_mesh.c,1,8,34,9,thirdparty/embree/kernels/common/scene_triangle_mesh.c,13,8,34,55
thirdparty/libtheora/info.c,thirdparty/libtheora/info.c,0,0,4,0,thirdparty/libtheora/info.c,1,0,4,5
scene/resources/resource_format_text.c,scene/resources/resource_format_text.c,9,61,174,70,scene/resources/resource_format_text.c,13,59,174,246
core/os/main_loop.c,core/os/main_loop.c,2,2,14,4,core/os/main_loop.c,4,2,14,20
thirdparty/embree/kernels/bvh/bvh_builder.c,thirdparty/embree/kernels/bvh/bvh_builder.c,48,44,92,92,thirdparty/embree/kernels/bvh/bvh_builder.c,48,44,92,184
thirdparty/icu4c/common/ubidi.c,thirdparty/icu4c/common/ubidi.c,3,6,57,9,thirdparty/icu4c/common/ubidi.c,4,6,57,67
modules/openxr/openxr_interface.c,modules/openxr/openxr_interface.c,19,11,38,30,modules/openxr/openxr_interface.c,19,11,38,68
editor/plugins/editor_debugger_plugin.c,editor/plugins/editor_debugger_plugin.c,5,15,43,20,editor/plugins/editor_debugger_plugin.c,5,15,43,63
scene/resources/visual_shader.c,scene/resources/visual_shader.c,83,175,403,258,scene/resources/visual_shader.c,83,175,403,661
core/variant/variant_setget.c,core/variant/variant_setget.c,0,6,34,6,core/variant/variant_setget.c,4,6,34,44
scene/animation/animation_blend_tree.c,scene/animation/animation_blend_tree.c,21,31,99,52,scene/animation/animation_blend_tree.c,21,31,99,151
core/io/file_access_compressed.c,core/io/file_access_compressed.c,3,2,7,5,core/io/file_access_compressed.c,4,2,7,13
scene/resources/portable_compressed_texture.c,scene/resources/portable_compressed_texture.c,7,0,36,7,scene/resources/portable_compressed_texture.c,7,0,36,43
thirdparty/basis_universal/encoder/basisu_uastc_enc.c,thirdparty/basis_universal/encoder/basisu_uastc_enc.c,28,33,146,61,thirdparty/basis_universal/encoder/basisu_uastc_enc.c,49,33,146,228
editor/plugins/style_box_editor_plugin.c,editor/plugins/style_box_editor_plugin.c,13,4,14,17,editor/plugins/style_box_editor_plugin.c,13,4,14,31
editor/scene_create_dialog.c,editor/scene_create_dialog.c,14,6,13,20,editor/scene_create_dialog.c,14,6,13,33
editor/editor_file_system.c,editor/editor_file_system.c,51,73,300,124,editor/editor_file_system.c,51,73,300,424
thirdparty/harfbuzz/src/hb-ot-shape.c,thirdparty/harfbuzz/src/hb-ot-shape.c,3,9,32,12,thirdparty/harfbuzz/src/hb-ot-shape.c,5,9,32,46
scene/resources/3d/fog_material.c,scene/resources/3d/fog_material.c,5,0,18,5,scene/resources/3d/fog_material.c,6,0,18,24
